name,type,price,stock,storage,description,image_path
商品1,6,457,2,6,,
商品2,2,2816,22,9,,
商品3,4,1203,171,1,,
商品4,3,1303,35,12,,
商品5,1,1904,125,11,,
商品6,2,2870,81,4,,
商品7,7,451,74,11,,
商品8,1,1301,33,11,,
商品9,6,310,93,9,,
商品10,6,725,118,4,,
商品11,1,1897,59,2,,
商品12,5,1185,167,3,,
商品13,5,550,56,10,,
商品14,7,848,137,5,,
商品15,3,263,4,3,,
商品16,2,2753,105,3,,
商品17,1,1218,40,10,,
商品18,2,2221,15,2,,
商品19,6,690,76,9,,
商品20,2,1815,46,6,,
商品21,4,2654,83,12,,
商品22,4,882,10,7,,
商品23,2,1732,24,9,,
商品24,6,2242,125,5,,
商品25,4,1700,75,1,,
商品26,7,851,134,3,,
商品27,1,1681,122,4,,
商品28,7,1295,13,2,,
商品29,1,722,110,12,,
商品30,2,1974,117,11,,
商品31,6,1878,148,1,,
商品32,1,2952,169,2,,
商品33,5,299,6,5,,
商品34,3,1277,116,11,,
商品35,6,322,49,9,,
商品36,5,1093,105,12,,
商品37,5,2522,111,2,,
商品38,1,2653,133,4,,
商品39,4,1300,138,7,,
商品40,6,2205,114,11,,
商品41,4,1840,122,1,,
商品42,1,2913,176,7,,
商品43,1,1745,72,6,,
商品44,2,2708,100,11,,
商品45,7,314,86,5,,
商品46,2,316,44,6,,
商品47,3,2001,37,7,,
商品48,6,2421,74,5,,
商品49,2,1662,91,10,,
商品50,3,2301,13,5,,
商品51,2,2832,109,6,,
商品52,4,2345,129,4,,
商品53,4,788,9,2,,
商品54,1,1091,140,6,,
商品55,6,2109,125,12,,
商品56,2,718,137,4,,
商品57,1,1061,107,7,,
商品58,1,133,6,5,,
商品59,6,2351,90,7,,
商品60,4,2328,64,6,,
商品61,7,2544,175,11,,
商品62,2,1819,11,5,,
商品63,1,1435,63,6,,
商品64,5,892,127,6,,
商品65,1,641,53,5,,
商品66,2,2452,85,4,,
商品67,2,2689,145,4,,
商品68,3,690,139,8,,
商品69,3,120,8,10,,
商品70,7,2246,62,10,,
商品71,5,590,53,7,,
商品72,7,2346,153,11,,
商品73,5,151,32,6,,
商品74,3,513,137,3,,
商品75,1,2228,5,7,,
商品76,3,2334,105,7,,
商品77,2,1491,38,4,,
商品78,4,1781,121,12,,
商品79,4,357,84,6,,
商品80,2,2442,6,5,,
商品81,5,2266,133,5,,
商品82,3,1502,10,1,,
商品83,7,1379,25,7,,
商品84,6,137,68,8,,
商品85,3,252,13,1,,
商品86,4,2649,139,1,,
商品87,3,2898,194,7,,
商品88,7,208,48,6,,
商品89,2,1032,85,10,,
商品90,7,314,84,4,,
商品91,2,2452,70,8,,
商品92,7,2758,25,9,,
商品93,2,1091,146,11,,
商品94,3,1341,67,5,,
商品95,7,2625,106,4,,
商品96,4,1623,150,11,,
商品97,7,296,171,9,,
商品98,6,862,182,7,,
商品99,4,1712,166,1,,
商品100,7,966,141,1,,
商品101,1,602,172,10,,
商品102,1,353,19,3,,
商品103,3,1691,74,12,,
商品104,2,1339,40,12,,
商品105,4,776,146,4,,
商品106,4,1748,73,2,,
商品107,6,1690,58,5,,
商品108,7,2898,79,6,,
商品109,7,290,107,6,,
商品110,4,366,81,8,,
商品111,6,1652,8,5,,
商品112,3,556,98,10,,
商品113,6,2544,33,4,,
商品114,7,1132,48,3,,
商品115,7,2907,77,8,,
商品116,2,2502,132,4,,
商品117,5,1680,84,9,,
商品118,2,489,195,10,,
商品119,4,1918,200,6,,
商品120,7,2523,78,6,,
商品121,5,735,51,5,,
商品122,4,891,121,1,,
商品123,3,1650,167,6,,
商品124,1,1447,159,6,,
商品125,4,914,70,7,,
商品126,1,2994,177,9,,
商品127,1,1505,16,4,,
商品128,3,434,75,7,,
商品129,2,2410,33,9,,
商品130,3,2513,41,8,,
商品131,4,814,160,5,,
商品132,2,2396,189,9,,
商品133,4,926,124,9,,
商品134,7,2298,178,10,,
商品135,7,1336,193,10,,
商品136,3,2173,138,7,,
商品137,7,310,104,2,,
商品138,3,2409,159,2,,
商品139,5,983,54,1,,
商品140,4,2556,186,8,,
商品141,6,1998,108,1,,
商品142,3,2473,178,3,,
商品143,3,2167,1,9,,
商品144,7,781,127,1,,
商品145,7,2507,66,7,,
商品146,6,830,35,6,,
商品147,4,521,90,10,,
商品148,5,2586,133,11,,
商品149,1,1851,7,2,,
商品150,3,997,99,11,,
商品151,5,2631,198,12,,
商品152,6,389,123,8,,
商品153,4,2928,155,4,,
商品154,7,1603,136,8,,
商品155,6,2300,73,12,,
商品156,5,295,41,8,,
商品157,7,2334,77,9,,
商品158,7,1866,27,12,,
商品159,1,2623,141,10,,
商品160,3,2122,102,4,,
商品161,6,1899,142,1,,
商品162,3,935,5,4,,
商品163,2,2182,44,7,,
商品164,4,179,132,8,,
商品165,7,196,71,2,,
商品166,1,131,51,8,,
商品167,2,578,97,5,,
商品168,5,255,54,10,,
商品169,1,861,115,7,,
商品170,7,1962,162,6,,
商品171,6,1832,35,3,,
商品172,6,971,106,6,,
商品173,5,1073,60,2,,
商品174,7,2450,80,9,,
商品175,5,2910,3,4,,
商品176,6,1916,182,5,,
商品177,3,619,24,4,,
商品178,2,2514,196,9,,
商品179,6,2133,116,3,,
商品180,4,2406,42,11,,
商品181,2,799,2,11,,
商品182,6,1036,68,6,,
商品183,2,802,10,9,,
商品184,7,217,57,2,,
商品185,6,1258,38,6,,
商品186,3,2948,29,12,,
商品187,5,915,184,9,,
商品188,2,628,135,6,,
商品189,6,752,83,7,,
商品190,3,1870,94,10,,
商品191,2,792,183,5,,
商品192,6,2597,57,2,,
商品193,1,2617,71,1,,
商品194,2,359,105,8,,
商品195,2,2045,181,12,,
商品196,2,390,129,5,,
商品197,3,2784,73,11,,
商品198,6,2794,36,1,,
商品199,7,1974,180,6,,
商品200,7,2194,61,12,,
商品201,2,2016,53,1,,
商品202,2,2972,180,12,,
